"Gemeente","Aantal","gem_code"
"'s-Gravenhage",0,518
"'s-Hertogenbosch",0,796
"Aa en Hunze",0,1680
"Aalsmeer",0,358
"Aalten",0,197
"Achtkarspelen",0,59
"Alblasserdam",0,482
"Albrandswaard",0,613
"Alkmaar",0,361
"Almelo",0,141
"Almere",0,34
"Alphen-Chaam",0,1723
"Alphen aan den Rijn",0,484
"Altena",0,1959
"Ameland",0,60
"Amersfoort",0,307
"Amstelveen",0,362
"Amsterdam",2,363
"Apeldoorn",0,200
"Appingedam",0,3
"Arnhem",0,202
"Assen",0,106
"Asten",0,743
"Baarle-Nassau",0,744
"Baarn",0,308
"Barendrecht",0,489
"Barneveld",0,203
"Beek",0,888
"Beekdaelen",0,1954
"Beemster",0,370
"Beesel",0,889
"Berg en Dal",0,1945
"Bergeijk",0,1724
"Bergen (L.)",0,893
"Bergen (NH.)",0,373
"Bergen op Zoom",0,748
"Berkelland",0,1859
"Bernheze",0,1721
"Best",0,753
"Beuningen",0,209
"Beverwijk",0,375
"Bladel",0,1728
"Blaricum",0,376
"Bloemendaal",0,377
"Bodegraven-Reeuwijk",0,1901
"Boekel",0,755
"Borger-Odoorn",0,1681
"Borne",0,147
"Borsele",0,654
"Boxmeer",0,756
"Boxtel",0,757
"Breda",0,758
"Brielle",0,501
"Bronckhorst",0,1876
"Brummen",0,213
"Brunssum",0,899
"Bunnik",0,312
"Bunschoten",0,313
"Buren",0,214
"Capelle aan den IJssel",0,502
"Castricum",0,383
"Coevorden",0,109
"Cranendonck",0,1706
"Cuijk",0,1684
"Culemborg",0,216
"Dalfsen",0,148
"Dantumadiel",0,1891
"De Bilt",0,310
"De Fryske Marren",0,1940
"De Ronde Venen",0,736
"De Wolden",0,1690
"Delft",0,503
"Delfzijl",0,10
"Den Helder",0,400
"Deurne",0,762
"Deventer",0,150
"Diemen",0,384
"Dinkelland",0,1774
"Doesburg",0,221
"Doetinchem",0,222
"Dongen",0,766
"Dordrecht",0,505
"Drechterland",0,498
"Drimmelen",0,1719
"Dronten",0,303
"Druten",0,225
"Duiven",0,226
"Echt-Susteren",0,1711
"Edam-Volendam",0,385
"Ede",0,228
"Eemnes",0,317
"Eersel",0,770
"Eijsden-Margraten",0,1903
"Eindhoven",0,772
"Elburg",0,230
"Emmen",0,114
"Enkhuizen",0,388
"Enschede",0,153
"Epe",0,232
"Ermelo",0,233
"Etten-Leur",0,777
"Geertruidenberg",0,779
"Geldrop-Mierlo",0,1771
"Gemert-Bakel",0,1652
"Gennep",0,907
"Gilze en Rijen",0,784
"Goeree-Overflakkee",0,1924
"Goes",0,664
"Goirle",0,785
"Gooise Meren",0,1942
"Gorinchem",0,512
"Gouda",0,513
"Grave",0,786
"Groningen",0,14
"Gulpen-Wittem",0,1729
"Haaksbergen",0,158
"Haaren",0,788
"Haarlem",0,392
"Haarlemmermeer",0,394
"Halderberge",0,1655
"Hardenberg",0,160
"Harderwijk",0,243
"Hardinxveld-Giessendam",0,523
"Harlingen",0,72
"Hattem",0,244
"Heemskerk",0,396
"Heemstede",0,397
"Heerde",0,246
"Heerenveen",0,74
"Heerhugowaard",0,398
"Heerlen",0,917
"Heeze-Leende",0,1658
"Heiloo",0,399
"Hellendoorn",0,163
"Hellevoetsluis",0,530
"Helmond",0,794
"Hendrik-Ido-Ambacht",0,531
"Hengelo",0,164
"Het Hogeland",0,1966
"Heumen",0,252
"Heusden",0,797
"Hillegom",0,534
"Hilvarenbeek",0,798
"Hilversum",1,402
"Hoeksche Waard",0,1963
"Hof van Twente",0,1735
"Hollands Kroon",0,1911
"Hoogeveen",0,118
"Hoorn",0,405
"Horst aan de Maas",0,1507
"Houten",0,321
"Huizen",0,406
"Hulst",0,677
"IJsselstein",0,353
"Kaag en Braassem",0,1884
"Kampen",1,166
"Kapelle",0,678
"Katwijk",0,537
"Kerkrade",0,928
"Koggenland",0,1598
"Krimpen aan den IJssel",0,542
"Krimpenerwaard",0,1931
"Laarbeek",0,1659
"Landerd",0,1685
"Landgraaf",0,882
"Landsmeer",1,415
"Langedijk",0,416
"Lansingerland",0,1621
"Laren",0,417
"Leeuwarden",0,80
"Leiden",0,546
"Leiderdorp",0,547
"Leidschendam-Voorburg",0,1916
"Lelystad",0,995
"Leudal",0,1640
"Leusden",0,327
"Lingewaard",0,1705
"Lisse",0,553
"Lochem",0,262
"Loon op Zand",0,809
"Lopik",0,331
"Loppersum",0,24
"Losser",0,168
"Maasdriel",0,263
"Maasgouw",0,1641
"Maassluis",0,556
"Maastricht",0,935
"Medemblik",0,420
"Meerssen",0,938
"Meierijstad",0,1948
"Meppel",0,119
"Middelburg",0,687
"Midden-Delfland",0,1842
"Midden-Drenthe",0,1731
"Midden-Groningen",0,1952
"Mill en Sint Hubert",0,815
"Moerdijk",0,1709
"Molenlanden",0,1978
"Montferland",0,1955
"Montfoort",0,335
"Mook en Middelaar",0,944
"Neder-Betuwe",0,1740
"Nederweert",0,946
"Nieuwegein",0,356
"Nieuwkoop",0,569
"Nijkerk",0,267
"Nijmegen",0,268
"Nissewaard",0,1930
"Noardeast-Fryslân",0,1970
"Noord-Beveland",0,1695
"Noordenveld",0,1699
"Noordoostpolder",0,171
"Noordwijk",0,575
"Nuenen, Gerwen en Nederwetten",0,820
"Nunspeet",0,302
"Oegstgeest",0,579
"Oirschot",0,823
"Oisterwijk",0,824
"Oldambt",0,1895
"Oldebroek",0,269
"Oldenzaal",0,173
"Olst-Wijhe",0,1773
"Ommen",0,175
"Oost Gelre",0,1586
"Oosterhout",0,826
"Ooststellingwerf",0,85
"Oostzaan",0,431
"Opmeer",0,432
"Opsterland",0,86
"Oss",0,828
"Oude IJsselstreek",0,1509
"Ouder-Amstel",0,437
"Oudewater",0,589
"Overbetuwe",0,1734
"Papendrecht",0,590
"Peel en Maas",0,1894
"Pekela",0,765
"Pijnacker-Nootdorp",0,1926
"Purmerend",0,439
"Putten",0,273
"Raalte",0,177
"Reimerswaal",0,703
"Renkum",0,274
"Renswoude",0,339
"Reusel-De Mierden",0,1667
"Rheden",0,275
"Rhenen",0,340
"Ridderkerk",0,597
"Rijssen-Holten",0,1742
"Rijswijk",0,603
"Roerdalen",0,1669
"Roermond",0,957
"Roosendaal",0,1674
"Rotterdam",0,599
"Rozendaal",0,277
"Rucphen",0,840
"Schagen",0,441
"Scherpenzeel",0,279
"Schiedam",0,606
"Schiermonnikoog",0,88
"Schouwen-Duiveland",0,1676
"Simpelveld",0,965
"Sint-Michielsgestel",0,845
"Sint Anthonis",0,1702
"Sittard-Geleen",0,1883
"Sliedrecht",0,610
"Sluis",0,1714
"Smallingerland",0,90
"Soest",0,342
"Someren",0,847
"Son en Breugel",0,848
"Stadskanaal",0,37
"Staphorst",0,180
"Stede Broec",0,532
"Steenbergen",0,851
"Steenwijkerland",0,1708
"Stein",0,971
"Stichtse Vecht",0,1904
"Súdwest-Fryslân",0,1900
"Terneuzen",0,715
"Terschelling",0,93
"Texel",0,448
"Teylingen",0,1525
"Tholen",0,716
"Tiel",0,281
"Tilburg",0,855
"Tubbergen",0,183
"Twenterand",0,1700
"Tynaarlo",0,1730
"Tytsjerksteradiel",0,737
"Uden",0,856
"Uitgeest",0,450
"Uithoorn",0,451
"Urk",0,184
"Utrecht",1,344
"Utrechtse Heuvelrug",0,1581
"Vaals",0,981
"Valkenburg aan de Geul",0,994
"Valkenswaard",0,858
"Veendam",0,47
"Veenendaal",0,345
"Veere",0,717
"Veldhoven",0,861
"Velsen",0,453
"Venlo",0,983
"Venray",0,984
"Vijfheerenlanden",0,1961
"Vlaardingen",0,622
"Vlieland",0,96
"Vlissingen",0,718
"Voerendaal",0,986
"Voorschoten",0,626
"Voorst",0,285
"Vught",0,865
"Waadhoeke",0,1949
"Waalre",0,866
"Waalwijk",0,867
"Waddinxveen",0,627
"Wageningen",0,289
"Wassenaar",0,629
"Waterland",0,852
"Weert",0,988
"Weesp",0,457
"West Betuwe",0,1960
"West Maas en Waal",0,668
"Westerkwartier",0,1969
"Westerveld",0,1701
"Westervoort",0,293
"Westerwolde",0,1950
"Westland",0,1783
"Weststellingwerf",0,98
"Westvoorne",0,614
"Wierden",0,189
"Wijchen",0,296
"Wijdemeren",0,1696
"Wijk bij Duurstede",0,352
"Winterswijk",0,294
"Woensdrecht",0,873
"Woerden",0,632
"Wormerland",0,880
"Woudenberg",0,351
"Zaanstad",0,479
"Zaltbommel",0,297
"Zandvoort",0,473
"Zeewolde",0,50
"Zeist",0,355
"Zevenaar",0,299
"Zoetermeer",0,637
"Zoeterwoude",0,638
"Zuidplas",0,1892
"Zundert",0,879
"Zutphen",0,301
"Zwartewaterland",0,1896
"Zwijndrecht",0,642
"Zwolle",0,193
